threshold,true_negative,false_positive,false_negative,true_positive,accuracy,precision,sensitivity,specificity,balanced_accuracy,f1_score
0.05,32,202,0,390,0.6762820512820513,0.6587837837837838,1.0,0.13675213675213677,0.5683760683760684,0.7942973523421588
0.1,39,195,0,390,0.6875,0.6666666666666666,1.0,0.16666666666666666,0.5833333333333334,0.8
0.15,41,193,0,390,0.6907051282051282,0.6689536878216124,1.0,0.1752136752136752,0.5876068376068376,0.8016443987667009
0.2,45,189,1,389,0.6955128205128205,0.6730103806228374,0.9974358974358974,0.19230769230769232,0.5948717948717949,0.8037190082644629
0.25,48,186,1,389,0.7003205128205128,0.6765217391304348,0.9974358974358974,0.20512820512820512,0.6012820512820513,0.8062176165803109
0.3,52,182,1,389,0.7067307692307693,0.681260945709282,0.9974358974358974,0.2222222222222222,0.6098290598290599,0.809573361082206
0.35,61,173,1,389,0.7211538461538461,0.6921708185053381,0.9974358974358974,0.2606837606837607,0.629059829059829,0.8172268907563025
0.4,63,171,1,389,0.7243589743589743,0.6946428571428571,0.9974358974358974,0.2692307692307692,0.6333333333333333,0.8189473684210526
0.45,66,168,1,389,0.7291666666666666,0.6983842010771992,0.9974358974358974,0.28205128205128205,0.6397435897435897,0.8215417106652587
0.5,69,165,2,388,0.7323717948717948,0.701627486437613,0.9948717948717949,0.2948717948717949,0.6448717948717949,0.8229056203605515
0.55,75,159,2,388,0.7419871794871795,0.7093235831809872,0.9948717948717949,0.32051282051282054,0.6576923076923077,0.8281750266808965
0.6,75,159,2,388,0.7419871794871795,0.7093235831809872,0.9948717948717949,0.32051282051282054,0.6576923076923077,0.8281750266808965
0.65,79,155,2,388,0.7483974358974359,0.714548802946593,0.9948717948717949,0.33760683760683763,0.6662393162393163,0.8317256162915327
0.7,82,152,2,388,0.7532051282051282,0.7185185185185186,0.9948717948717949,0.3504273504273504,0.6726495726495727,0.8344086021505376
0.75,90,144,2,388,0.7660256410256411,0.7293233082706767,0.9948717948717949,0.38461538461538464,0.6897435897435897,0.841648590021692
0.8,94,140,3,387,0.7708333333333334,0.7343453510436433,0.9923076923076923,0.4017094017094017,0.697008547008547,0.8440567066521265
0.85,102,132,4,386,0.782051282051282,0.7451737451737451,0.9897435897435898,0.4358974358974359,0.7128205128205128,0.8502202643171806
0.9,109,125,5,385,0.7916666666666666,0.7549019607843137,0.9871794871794872,0.4658119658119658,0.7264957264957266,0.8555555555555555
0.95,118,116,7,383,0.8028846153846154,0.7675350701402806,0.982051282051282,0.5042735042735043,0.7431623931623932,0.8616422947131609
0.96,124,110,8,382,0.8108974358974359,0.7764227642276422,0.9794871794871794,0.5299145299145299,0.7547008547008547,0.8662131519274376
0.97,126,108,12,378,0.8076923076923077,0.7777777777777778,0.9692307692307692,0.5384615384615384,0.7538461538461538,0.863013698630137
0.98,132,102,20,370,0.8044871794871795,0.7838983050847458,0.9487179487179487,0.5641025641025641,0.7564102564102564,0.8584686774941995
0.99,139,95,24,366,0.8092948717948718,0.7939262472885033,0.9384615384615385,0.594017094017094,0.7662393162393162,0.8601645123384254
0.995,152,82,32,358,0.8173076923076923,0.8136363636363636,0.9179487179487179,0.6495726495726496,0.7837606837606838,0.8626506024096385
0.999,186,48,62,328,0.8237179487179487,0.8723404255319149,0.841025641025641,0.7948717948717948,0.8179487179487179,0.856396866840731
